항목그룹명	CC코드	CC명	항목구분명	항목코드	항목명	01월	02월	03월	04월	05월	06월	07월	08월	09월	10월	11월	12월	합계
제조경비	SM_SQA	품질보증실 품질보증3팀	감가상각비(제조)	5109170	감가상각비-산업재산권(제조)	"26,659"	"26,659"	"26,659"	"26,659"	"26,659"	0	0	0	0	0	0	0	"133,295"
제조경비	SM_SQA	품질보증실 품질보증3팀	감가상각비(제조)	5109220	감가상각비-비품(제조)	"358,118"	"358,118"	"358,118"	"358,118"	"358,118"	0	0	0	0	0	0	0	"1,790,590"
제조경비	SM_SQA	품질보증실 품질보증3팀	경상연구개발비(제조)	5113110	경상연구개발비-품질검정비(제조)	0	0	"15,939,507"	"75,273,196"	0	0	0	0	0	0	0	0	"91,212,703"
제조경비	SM_SQA	품질보증실 품질보증3팀	경상연구개발비(제조)	5113160	경상연구개발비-실험재료관리비(제조)	0	0	0	0	0	0	0	0	0	0	0	0	0
제조경비	SM_SQA	품질보증실 품질보증3팀	운반비(제조)	5115110	운반비-운임(제조)	0	0	0	0	0	0	0	0	0	0	0	0	0
제조경비	SM_SQA	품질보증실 품질보증3팀	교육훈련비(제조)	5118130	교육훈련비-사외교육훈련비(제조)	0	0	"300,000"	"300,000"	0	0	0	0	0	0	0	0	"600,000"
제조경비	SM_SQA	품질보증실 품질보증3팀	도서문구비(제조)	5119110	도서문구비-도서비(제조)	0	0	"1,050,000"	0	0	0	0	0	0	0	0	0	"1,050,000"
제조경비	SM_SQA	품질보증실 품질보증3팀	도서문구비(제조)	5119150	도서문구비-사무용품비(제조)	0	0	"17,637"	"11,200"	0	0	0	0	0	0	0	0	"28,837"
제조경비	SM_SQA	품질보증실 품질보증3팀	소모품비(제조)	5120110	소모품비-소모성기구비(제조)	0	0	0	0	0	0	0	0	0	0	0	0	0
제조경비	SM_SQA	품질보증실 품질보증3팀	소모품비(제조)	5120140	소모품비-소모성소모품관리비(제조)	"113,420"	0	"64,900"	0	0	0	0	0	0	0	0	0	"178,320"
제조경비	SM_SQA	품질보증실 품질보증3팀	업무추진비(제조)	5130120	업무추진비-업무추진비(제조)	0	0	0	"115,455"	0	0	0	0	0	0	0	0	"115,455"
